Activity,Country,Implementing_agency,Sector,Funding_ac,Transaction_type,Fiscal_year,Current_amount
98 SO1: INCREASED REGIONAL CAPACITY TO INFLUENCE DEMOCRATIC,Southern Africa Region,U.S. Agency for International Development,Government and Civil Society,"Agency for International Development, Development Assistance",Obligations,2005,123006
Administration and Oversight,Eastern Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Disbursements,2013,122900
Administration and Oversight (Counter-Terrorism),West Africa Region,U.S. Agency for International Development,"Conflict, Peace, and Security","Agency for International Development, Development Assistance",Disbursements,2010,122822
Bali Process-Asia Pacific Conference,East Asia and Oceania Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Disbursements,2005,122776
Program Support (Agriculture),Southern Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Obligations,2008,122675
Global Health Technical Assistance Project: GH Tech,Eastern Africa Region,U.S. Agency for International Development,"Maternal and Child Health, Family Planning","Department of State, Global Health Programs",Obligations,2011,122623
Program Design and Learning,West Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Disbursements,2012,122596
Program Support (Protection),Southern Africa Region,U.S. Agency for International Development,Emergency Response,"Agency for International Development, International Disaster Assistance",Disbursements,2007,122525
Administration and Oversight,Middle East Region,U.S. Agency for International Development,Other Multisector,Economic Support Fund,Obligations,2013,122518
Regional Conflict Prevention,West Africa Region,U.S. Agency for International Development,"Conflict, Peace, and Security","Agency for International Development, Development Assistance",Obligations,2007,122479
Evaluation,West Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, International Disaster Assistance",Obligations,2017,122411
Peace Advanced In The Horn & Great Lakes,Eastern Africa Region,U.S. Agency for International Development,"Conflict, Peace, and Security","Agency for International Development, Development Assistance",Obligations,2009,122370
Administration and Oversight,West Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, International Disaster Assistance",Disbursements,2014,122353
Crisis Assistance and Recovery,West Africa Region,U.S. Agency for International Development,Emergency Response,"Agency for International Development, International Disaster Assistance",Obligations,2015,122141
Financial Services,West Africa Region,U.S. Agency for International Development,Banking and Financial Services,"Agency for International Development, Development Credit Authority",Disbursements,2014,121954
Administration and Oversight (Protection),Eastern Africa Region,U.S. Agency for International Development,Emergency Response,"Agency for International Development, International Disaster Assistance",Disbursements,2009,121862
Improved Management Selected River Basins,Southern Africa Region,U.S. Agency for International Development,Water Supply and Sanitation,"Agency for International Development, Development Assistance",Disbursements,2008,121754
Administration and Oversight,Eastern Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, Development Assistance",Obligations,2016,121714
Administration and Oversight,West Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, International Disaster Assistance",Disbursements,2013,121694
Administrative costs,Middle East Region,U.S. Agency for International Development,Operating Expenses,"Agency for International Development, Operating Expenses",Disbursements,2017,121636
Program Design and Learning,Eastern Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, Development Assistance",Disbursements,2013,121623
Agile and Harmonized Assistance to Devolved Institutions (AHADI),Eastern Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Obligations,2014,121620
AG: The Agricultural Sector's Contribution to Economic Grow - Title II Farmer-to-Farmer,Eastern Africa Region,U.S. Agency for International Development,Developmental Food Aid/Food Security Assistance,Commodity Credit Corporation Fund,Disbursements,2005,121617
Program Support (Governance),Eastern Africa Region,U.S. Agency for International Development,Government and Civil Society,"Agency for International Development, Development Assistance",Disbursements,2008,121598
Program Support (Civil Society),Eastern Africa Region,U.S. Agency for International Development,Government and Civil Society,"Agency for International Development, Development Assistance",Disbursements,2009,121493
Crisis Assistance and Recovery,Eastern Africa Region,U.S. Agency for International Development,Developmental Food Aid/Food Security Assistance,Public Law 480 Title II Grants,Disbursements,2014,121454
OFDA/Operations Support,Southern Africa Region,U.S. Agency for International Development,Emergency Response,"Agency for International Development, International Disaster Assistance",Disbursements,2007,121181
OFDA/Operations Support,Southern Africa Region,U.S. Agency for International Development,Emergency Response,"Agency for International Development, International Disaster Assistance",Obligations,2006,121181
Program Support (Agriculture),West Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Disbursements,2008,121133
ASSIST ...POLICY OPTIONS WHICH PROMOTE TRADE AND INVEST,West Africa Region,U.S. Agency for International Development,Trade Policy and Regulations,"Agency for International Development, Development Assistance",Disbursements,2001,120971
Administrative costs,Eastern Africa Region,U.S. Agency for International Development,Operating Expenses,"Agency for International Development, Operating Expenses",Disbursements,2011,120955
Agricultural Enabling Environment,Eastern Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, International Disaster Assistance",Disbursements,2012,120954
Program Support (Environment),West Africa Region,U.S. Agency for International Development,General Environmental Protection,"Agency for International Development, Development Assistance",Obligations,2009,120676
Avian Influenza,West Africa Region,U.S. Agency for International Development,Basic Health,"Department of State, Global Health Programs",Disbursements,2009,120664
Regional Policy Dialogue-Rapid,Southern Africa Region,U.S. Agency for International Development,Government and Civil Society,"Agency for International Development, Development Assistance",Obligations,2003,120648
Basic Education,West Africa Region,U.S. Agency for International Development,Basic Education,"Millennium Challenge Corporation, Expenses",Disbursements,2010,120646
Avian Influenza,West Africa Region,U.S. Agency for International Development,Basic Health,"Department of State, Global Health Programs",Disbursements,2010,120639
Administration and Oversight,Southern Africa Region,U.S. Agency for International Development,Other Multisector,"Department of State, Global Health Programs",Disbursements,2016,120610
Avian Influenza,West Africa Region,U.S. Agency for International Development,Basic Health,"Department of State, Global Health Programs",Obligations,2010,120496
Program Design and Learning,Southern Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, Development Assistance",Obligations,2013,120481
Program Design and Learning,Southern Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, Development Assistance",Disbursements,2013,120481
Family Planning and Reproductive Health,Eastern Africa Region,U.S. Agency for International Development,"Maternal and Child Health, Family Planning","Department of State, Global Health Programs",Obligations,2017,120330
RECONSTRUCTION OF SPORTS CENTER,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Disbursements,2001,120284
Administration and Oversight,Southern Africa Region,U.S. Agency for International Development,Other Multisector,"Department of State, Global Health Programs",Obligations,2013,120263
Administration and Oversight,Eastern Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, Development Assistance",Disbursements,2009,120239
Administration and Oversight,Southern Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Disbursements,2014,120108
Crisis Assistance and Recovery,Eastern Africa Region,U.S. Agency for International Development,Developmental Food Aid/Food Security Assistance,Public Law 480 Title II Grants,Disbursements,2013,120081
Program Design and Learning,West Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, Development Assistance",Disbursements,2013,120070
"Department of Energy, Nonproliferation and International Security",Europe Region,Department of Energy,Energy,"Department of Energy, Defense Nuclear Nonproliferation",Obligations,2012,120000
"Capacity Building, Preparedness, and Planning",Southern Africa Region,U.S. Agency for International Development,Disaster Prevention and Preparedness,"Agency for International Development, International Disaster Assistance",Disbursements,2011,120000
Agriculture - Title II Farmer-to-Farmer,Eastern Africa Region,U.S. Agency for International Development,Developmental Food Aid/Food Security Assistance,Public Law 480 Title II Grants,Obligations,2008,120000
Leveraging Cashew Business for Poverty Reduction,West Africa Region,U.S. Agency for International Development,Trade Policy and Regulations,"Agency for International Development, Development Assistance",Disbursements,2014,120000
Evidence for Development (E4D),West Africa Region,U.S. Agency for International Development,HIV/AIDS,"Department of State, Global Health Programs",Disbursements,2015,120000
HIV/AIDS,West Africa Region,U.S. Agency for International Development,HIV/AIDS,"Department of State, Global HIV/AIDs Initiative",Disbursements,2008,120000
HIV/AIDS,West Africa Region,U.S. Agency for International Development,HIV/AIDS,"Department of State, Global HIV/AIDs Initiative",Obligations,2007,120000
Administrative costs,Southern Africa Region,U.S. Agency for International Development,Operating Expenses,"Agency for International Development, Operating Expenses",Obligations,2005,119994
Administrative costs,Southern Africa Region,U.S. Agency for International Development,Administration and Oversight,"Department of State, Global Health Programs",Disbursements,2014,119987
Administrative costs,Eastern Africa Region,U.S. Agency for International Development,Administration and Oversight,"Agency for International Development, Development Assistance",Disbursements,2014,119672
Administrative costs,Eastern Africa Region,U.S. Agency for International Development,Administration and Oversight,"Agency for International Development, Development Assistance",Obligations,2014,119672
Administrative costs,West Africa Region,U.S. Agency for International Development,Operating Expenses,"Agency for International Development, Operating Expenses",Obligations,2010,119599
Cross-Border Health Integrated Partnership Project (CB-HIPP),Eastern Africa Region,U.S. Agency for International Development,HIV/AIDS,"Department of State, Global Health Programs",Obligations,2015,119539
Administration and Oversight,Eastern Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Disbursements,2016,119462
National Endowment for Democracy Grant to Solidarity Center (SC),Eastern Africa Region,Department of State,Other Social Infrastructure and Services,"Department of State, National Endowment for Democracy",Disbursements,2015,119445
National Endowment for Democracy Grant to Solidarity Center (SC),Eastern Africa Region,Department of State,Other Social Infrastructure and Services,"Department of State, National Endowment for Democracy",Obligations,2015,119445
"Secure, Empowered, Connected Communities (SECC) Program in East Africa",Eastern Africa Region,U.S. Agency for International Development,"Conflict, Peace, and Security",Economic Support Fund,Disbursements,2015,119400
Administration and Oversight,West Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Obligations,2016,119253
Palliative Care for People Living with HIV/AIDS,Southern Africa Region,U.S. Agency for International Development,HIV/AIDS,"Department of State, Global Health Programs",Disbursements,2013,119247
"Export Control and Related Border Security Assistance, Government Industry Outreach",East Asia and Oceania Region,Department of State,Government and Civil Society,"Nonproliferation, Anti-Terrorism, Demining and Related Programs",Disbursements,2014,119230
"Export Control and Related Border Security Assistance, Government Industry Outreach",East Asia and Oceania Region,Department of State,Government and Civil Society,"Nonproliferation, Anti-Terrorism, Demining and Related Programs",Obligations,2014,119230
Regional Market Intergration,Southern Africa Region,U.S. Agency for International Development,Business and Other Services,"Agency for International Development, Development Assistance",Disbursements,2004,119203
Administration and Oversight,Eastern Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, Development Assistance",Disbursements,2013,119144
COMMUNITY DEVELOPMENT PROJECT,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Disbursements,2001,119123
Inc. adoption of sustainable Family Planning/Reproductive,West Africa Region,U.S. Agency for International Development,HIV/AIDS,"Agency for International Development, Child Survival and Health Programs Fund",Disbursements,2003,119121
COMMUNITY DEVELOPMENT INITIATIVE,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Disbursements,2004,119000
Administration and Oversight,Eastern Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, Development Assistance",Disbursements,2014,118985
Administration and Oversight,West Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, Development Assistance",Obligations,2010,118906
Program Support (Environment),West Africa Region,U.S. Agency for International Development,General Environmental Protection,"Agency for International Development, Development Assistance",Disbursements,2009,118901
Administrative costs,Southern Africa Region,U.S. Agency for International Development,Operating Expenses,Foreign National Employees Separation Liability Fund,Disbursements,2007,118863
REG.REPROD.HEALTH STI/HIV/AIDS,West Africa Region,U.S. Agency for International Development,HIV/AIDS,"Agency for International Development, Child Survival and Health Programs Fund",Obligations,2002,118853
Administration and Oversight,West Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Obligations,2014,118829
Maternal and Child Health,Eastern Africa Region,U.S. Agency for International Development,"Maternal and Child Health, Family Planning","Department of State, Global Health Programs",Disbursements,2009,118815
"Protection, Assistance and Solutions",Eastern Africa Region,U.S. Agency for International Development,"Conflict, Peace, and Security","Agency for International Development, International Disaster Assistance",Disbursements,2017,118568
National Endowment for Democracy Grant to Solidarity Center (SC),Eastern Africa Region,Department of State,Other Social Infrastructure and Services,"Department of State, National Endowment for Democracy",Disbursements,2014,118500
National Endowment for Democracy Grant to Solidarity Center (SC),Eastern Africa Region,Department of State,Other Social Infrastructure and Services,"Department of State, National Endowment for Democracy",Obligations,2014,118500
Administration and Oversight,Southern Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, International Disaster Assistance",Disbursements,2009,118484
Funding to COMESA,Eastern Africa Region,U.S. Agency for International Development,Trade Policy and Regulations,"Agency for International Development, Development Assistance",Disbursements,2016,118335
Feed the Future Innovation Lab for Food Security Policy (FSP),West Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Disbursements,2016,118261
Inland Freight Cost of USAID Title II Food Aid for Other Emergency,Southern Africa Region,U.S. Agency for International Development,Emergency Response,Public Law 480 Title II Grants,Disbursements,2007,118200
Inland Freight Cost of USAID Title II Food Aid for Other Emergency,Southern Africa Region,U.S. Agency for International Development,Emergency Response,Public Law 480 Title II Grants,Obligations,2007,118200
Administrative costs,Southern Africa Region,U.S. Agency for International Development,Operating Expenses,"Agency for International Development, Operating Expenses",Obligations,2002,118060
Fistula Care Plus,West Africa Region,U.S. Agency for International Development,"Maternal and Child Health, Family Planning","Department of State, Global Health Programs",Disbursements,2016,118029
National Endowment for Democracy Grant to MESA 10,Europe Region,Department of State,Government and Civil Society,"Department of State, National Endowment for Democracy",Disbursements,2016,118000
National Endowment for Democracy Grant to MESA 10,Europe Region,Department of State,Government and Civil Society,"Department of State, National Endowment for Democracy",Obligations,2016,118000
Humanitarian Mine Action,Europe Region,Department of Defense,"Conflict, Peace, and Security","Department of Defense, Overseas Humanitarian, Disaster, and Civic Aid",Disbursements,2008,118000
Administration and Oversight,Eastern Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Obligations,2012,117958
Maternal and Child Health,Eastern Africa Region,U.S. Agency for International Development,"Maternal and Child Health, Family Planning","Department of State, Global Health Programs",Disbursements,2014,117869
Administrative costs,Eastern Africa Region,U.S. Agency for International Development,Developmental Food Aid/Food Security Assistance,Public Law 480 Title II Grants,Obligations,2012,117805
"US Patent & Trademark Office: USPTO/Association of Southeast Asian Nations (ASEAN), Seminar on Intellectual Property Rights Capacity Building",East Asia and Oceania Region,Department of Commerce,Trade Policy and Regulations,"Patent and Trademark Office, Salaries and Expenses",Disbursements,2005,117726
"US Patent & Trademark Office: USPTO/Association of Southeast Asian Nations (ASEAN), Seminar on Intellectual Property Rights Capacity Building",East Asia and Oceania Region,Department of Commerce,Trade Policy and Regulations,"Patent and Trademark Office, Salaries and Expenses",Obligations,2005,117726
HIV/AIDS - Assistance for HIV/AIDS,Eastern Africa Region,U.S. Agency for International Development,HIV/AIDS,"Department of State, Global Health Programs",Disbursements,2014,117640
Mission-Wide Monitoring and Evaluation Project,West Africa Region,U.S. Agency for International Development,Agriculture,"Department of State, Global Health Programs",Disbursements,2017,117621
Maternal and Child Health,Eastern Africa Region,U.S. Agency for International Development,"Maternal and Child Health, Family Planning","Department of State, Global Health Programs",Disbursements,2017,117535
Administration and Oversight,Southern Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Obligations,2014,117512
Administration and Oversight,West Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, Development Assistance",Disbursements,2016,117462
Administration and Oversight,West Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, Development Assistance",Disbursements,2013,117448
Administrative costs,Southern Africa Region,U.S. Agency for International Development,Operating Expenses,"Agency for International Development, Operating Expenses",Disbursements,2002,117357
Agricultural Sector Productivity - Title II Farmer-to-Farmer,West Africa Region,U.S. Agency for International Development,Developmental Food Aid/Food Security Assistance,Public Law 480 Title II Grants,Disbursements,2015,117344
Administration and Oversight,Eastern Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, International Disaster Assistance",Disbursements,2015,117284
Agricultural Enabling Environment,West Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Disbursements,2017,117256
Administration and Oversight,West Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Obligations,2013,117201
Administration and Oversight,West Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Obligations,2017,117145
Program Design and Learning,Eastern Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Obligations,2017,117051
COMMUNTIY DEVELOPMENT INITIATIVE,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Disbursements,2004,117000
Inland Freight for Bill Emerson Humanitarian Trust Food Aid,Southern Africa Region,U.S. Agency for International Development,Emergency Response,Public Law 480 Title II Grants,Obligations,2003,117000
Ocean Freight of USAID Title II Food Aid for Other Emergency,Southern Africa Region,U.S. Agency for International Development,Emergency Response,Public Law 480 Title II Grants,Obligations,2007,117000
Inland Freight for Bill Emerson Humanitarian Trust Food Aid,Southern Africa Region,U.S. Agency for International Development,Emergency Response,Public Law 480 Title II Grants,Disbursements,2003,117000
Ocean Freight of USAID Title II Food Aid for Other Emergency,Southern Africa Region,U.S. Agency for International Development,Emergency Response,Public Law 480 Title II Grants,Disbursements,2007,117000
"Department of Energy, Nonproliferation and International Security",North Africa Region,Department of Energy,Energy,"Department of Energy, Defense Nuclear Nonproliferation",Obligations,2012,117000
HIV/AIDS,Eastern Africa Region,U.S. Agency for International Development,HIV/AIDS,"Department of State, Global Health Programs",Obligations,2010,116753
Administration and Oversight,West Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Disbursements,2016,116721
Global HIV/AIDS Initiative,Southern Africa Region,U.S. Agency for International Development,HIV/AIDS,"Department of State, Global HIV/AIDs Initiative",Disbursements,2006,116686
Sahel Resilience and Learning (SAREL),West Africa Region,U.S. Agency for International Development,Agriculture,"Department of State, Global Health Programs",Obligations,2017,116667
REG.REPROD.HEALTH STI/HIV/AIDS,West Africa Region,U.S. Agency for International Development,HIV/AIDS,"Agency for International Development, Child Survival and Health Programs Fund",Disbursements,2004,116555
Administration and Oversight (Counter-Terrorism),West Africa Region,U.S. Agency for International Development,"Conflict, Peace, and Security","Agency for International Development, Development Assistance",Obligations,2012,116355
Improved Management Selected River Basins,Southern Africa Region,U.S. Agency for International Development,Water Supply and Sanitation,"Agency for International Development, Development Assistance",Disbursements,2006,116347
"HHS, Center for Disease Control HIV/AIDs Activities - F Operational Plan Programs",West Africa Region,Department of Health and Human Services,HIV/AIDS,"Centers for Disease Control, Disease Control, Research, and Training",Obligations,2011,116305
Regional Market Intergration,Southern Africa Region,U.S. Agency for International Development,Business and Other Services,"Agency for International Development, Development Assistance",Disbursements,2004,116261
Administration and Oversight,Eastern Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, Development Assistance",Disbursements,2009,116260
Administrative costs,Southern Africa Region,U.S. Agency for International Development,Administration and Oversight,"Department of State, Global Health Programs",Disbursements,2013,116141
Funding to COMESA,Eastern Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Obligations,2017,116074
West Africa Cotton Partnership Program,West Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Disbursements,2016,116000
Administrative costs,Southern Africa Region,U.S. Agency for International Development,Operating Expenses,"Agency for International Development, Operating Expenses",Disbursements,2003,115991
Administration and Oversight,Southern Africa Region,U.S. Agency for International Development,HIV/AIDS,"Department of State, Global Health Programs",Disbursements,2017,115991
Regional Market Intergration,Southern Africa Region,U.S. Agency for International Development,Business and Other Services,"Agency for International Development, Development Assistance",Obligations,2003,115924
Administration and Oversight,West Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, Development Assistance",Disbursements,2013,115852
Palliative Care for People Living with HIV/AIDS,Southern Africa Region,U.S. Agency for International Development,HIV/AIDS,"Department of State, Global Health Programs",Disbursements,2012,115648
Administrative costs,Eastern Africa Region,U.S. Agency for International Development,Administration and Oversight,"Agency for International Development, International Disaster Assistance",Disbursements,2016,115632
Administrative costs,Southern Africa Region,U.S. Agency for International Development,Operating Expenses,"Department of State, Global Health Programs",Disbursements,2010,115605
Administration and Oversight,West Africa Region,U.S. Agency for International Development,"Maternal and Child Health, Family Planning","Department of State, Global Health Programs",Disbursements,2015,115536
Natural Resources Management-Botswana,Southern Africa Region,U.S. Agency for International Development,General Environmental Protection,"Agency for International Development, Development Assistance",Disbursements,2001,115441
Commodity Cost of USAID Title II Food Aid for General Relief,West Africa Region,U.S. Agency for International Development,Developmental Food Aid/Food Security Assistance,Public Law 480 Title II Grants,Obligations,2005,115400
Commodity Cost of USAID Title II Food Aid for General Relief,West Africa Region,U.S. Agency for International Development,Developmental Food Aid/Food Security Assistance,Public Law 480 Title II Grants,Disbursements,2005,115400
"Capacity Building, Preparedness, and Planning",West Africa Region,U.S. Agency for International Development,Disaster Prevention and Preparedness,"Agency for International Development, International Disaster Assistance",Disbursements,2015,115383
Administration and Oversight,West Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, International Disaster Assistance",Obligations,2017,115288
Higher Education,West Africa Region,U.S. Agency for International Development,Post-Secondary Education,"Agency for International Development, Development Assistance",Disbursements,2015,115237
Administration and Oversight,Eastern Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, International Disaster Assistance",Obligations,2011,115015
HIV/AIDS,Eastern Africa Region,U.S. Agency for International Development,HIV/AIDS,"Department of State, Global Health Programs",Disbursements,2010,115014
Elections and Political Processes,Southern Africa Region,U.S. Agency for International Development,Government and Civil Society,"Department of State, Democracy Fund",Disbursements,2015,115004
"Voluntary Medical Male Circumcision (VMMC), Early Infant Male Circumcision (EIMC) and Pre-Service Education in Lesotho",Southern Africa Region,U.S. Agency for International Development,HIV/AIDS,"Department of State, Global Health Programs",Obligations,2015,115000
Humanitarian Assistance,Europe Region,Department of Defense,Emergency Response,"Department of Defense, Overseas Humanitarian, Disaster, and Civic Aid",Disbursements,2003,115000
Inc. adoption of sustainable Family Planning/Reproductive,West Africa Region,U.S. Agency for International Development,HIV/AIDS,"Agency for International Development, Child Survival and Health Programs Fund",Disbursements,2007,115000
Administration and Oversight,West Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, International Assistance Program, Transition Initiatives",Disbursements,2016,114904
The Arctic Shorebird Demographics Network II,Western Hemisphere Region,Department of the Interior,General Environmental Protection,"U.S. Fish and Wildlife Service, Neotropical Migratory Bird Conservation",Obligations,2012,114862
Administration and Oversight,Eastern Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, International Disaster Assistance",Disbursements,2014,114491
"Maternal and Child Health - Maternal and Young Child Nutrition, Including Micronutrients",Eastern Africa Region,U.S. Agency for International Development,Basic Health,"Department of State, Global Health Programs",Disbursements,2010,114339
Administration and Oversight,Eastern Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, International Assistance Program, Transition Initiatives",Obligations,2015,114106
Exp.Com.Markets Agric Tech&Com,Southern Africa Region,U.S. Agency for International Development,Trade Policy and Regulations,"Agency for International Development, Development Assistance",Disbursements,2004,114098
Regional Conflict Prevention,West Africa Region,U.S. Agency for International Development,"Conflict, Peace, and Security","Agency for International Development, Development Assistance",Disbursements,2005,113940
Program Design and Learning,Eastern Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, Development Assistance",Obligations,2012,113897
Administration and Oversight,West Africa Region,U.S. Agency for International Development,"Maternal and Child Health, Family Planning","Department of State, Global Health Programs",Obligations,2016,113792
Maternal and Child Health,Eastern Africa Region,U.S. Agency for International Development,"Maternal and Child Health, Family Planning","Department of State, Global Health Programs",Disbursements,2014,113701
Administrative costs,Southern Africa Region,U.S. Agency for International Development,Operating Expenses,"Agency for International Development, Operating Expenses",Obligations,2004,113645
"Regional Health, HIV & AIDS - Assistance for HIV/AIDS",Eastern Africa Region,U.S. Agency for International Development,HIV/AIDS,"Agency for International Development, Child Survival and Health Programs Fund",Obligations,2008,113571
Support for Trade Capacity Building (TCBoost),West Africa Region,U.S. Agency for International Development,Transport and Storage,"Agency for International Development, Development Assistance",Disbursements,2011,113563
Support for Trade Capacity Building (TCBoost),West Africa Region,U.S. Agency for International Development,Transport and Storage,"Agency for International Development, Development Assistance",Obligations,2010,113563
Protection and Solutions,Eastern Africa Region,U.S. Agency for International Development,Developmental Food Aid/Food Security Assistance,Public Law 480 Title II Grants,Obligations,2017,113540
98 SO2: A MORE INTEGRATED REGIONAL MARKET,Southern Africa Region,U.S. Agency for International Development,Trade Policy and Regulations,"Agency for International Development, Development Assistance",Disbursements,2004,113510
Administration and Oversight,Eastern Africa Region,U.S. Agency for International Development,Other Multisector,"Department of State, Global Health Programs",Disbursements,2011,113488
OFDA/Prevention- Mitigation- Preparedness + Planning,Eastern Africa Region,U.S. Agency for International Development,Emergency Response,"Agency for International Development, International Disaster Assistance",Disbursements,2003,113413
Exp.Com.Markets Agric Tech&Com,Southern Africa Region,U.S. Agency for International Development,Trade Policy and Regulations,"Agency for International Development, Development Assistance",Obligations,2003,113316
Regional Market Intergration,Southern Africa Region,U.S. Agency for International Development,Business and Other Services,"Agency for International Development, Development Assistance",Disbursements,2005,113294
Administration and Oversight,Southern Africa Region,U.S. Agency for International Development,HIV/AIDS,"Department of State, Global Health Programs",Disbursements,2016,113205
Expand the GLOBE program in the Baltic Sea and Arctic Regions,Europe Region,Department of State,General Environmental Protection,Economic Support Fund,Disbursements,2001,113000
Expand the GLOBE program in the Baltic Sea and Arctic Regions,Europe Region,Department of State,General Environmental Protection,Economic Support Fund,Obligations,2001,113000
Child Survival & Health Programs Fund,West Africa Region,U.S. Agency for International Development,Basic Health,"Agency for International Development, Child Survival and Health Programs Fund",Obligations,2007,113000
FY 14 Economic Support Funds for Central Asia and Kyrgyz Republic,South and Central Asia Region,Department of Commerce,Trade Policy and Regulations,Economic Support Fund,Disbursements,2016,112938
Water Supply and Sanitation,Middle East Region,U.S. Agency for International Development,Water Supply and Sanitation,"Agency for International Development, Development Assistance",Disbursements,2014,112906
98 SO1: INCREASED REGIONAL CAPACITY TO INFLUENCE DEMOCRATIC,Southern Africa Region,U.S. Agency for International Development,Government and Civil Society,"Agency for International Development, Development Assistance",Disbursements,2004,112822
Administration and Oversight,West Africa Region,U.S. Agency for International Development,Agriculture,"Department of State, Global Health Programs",Obligations,2017,112814
Water Supply and Sanitation,Middle East Region,U.S. Agency for International Development,Water Supply and Sanitation,"Agency for International Development, Development Assistance",Disbursements,2016,112784
HIV/AIDS,West Africa Region,U.S. Agency for International Development,HIV/AIDS,"Department of State, Global Health Programs",Disbursements,2011,112781
"Capacity Building, Preparedness, and Planning",Southern Africa Region,U.S. Agency for International Development,Disaster Prevention and Preparedness,"Agency for International Development, International Disaster Assistance",Obligations,2009,112778
Administration and Oversight,Southern Africa Region,U.S. Agency for International Development,Other Multisector,"Department of State, Global Health Programs",Disbursements,2015,112682
OE TRUSFUNDS COR,West Africa Region,U.S. Agency for International Development,Operating Expenses,"Agency for International Development, Operating Expenses",Obligations,2001,112487
98 SO1: INCREASED REGIONAL CAPACITY TO INFLUENCE DEMOCRATIC,Southern Africa Region,U.S. Agency for International Development,Government and Civil Society,"Agency for International Development, Development Assistance",Obligations,2005,112336
Greater Trade Competitiveness,West Africa Region,U.S. Agency for International Development,Trade Policy and Regulations,"Agency for International Development, Development Assistance",Disbursements,2016,112290
Demographic and Health Surveys Phase 7 (DHS-7),West Africa Region,U.S. Agency for International Development,Other Multisector,"Department of State, Global Health Programs",Obligations,2016,112273
Ocean Freight of USAID Title II Food Aid for Monetization (Direct Feeding),West Africa Region,U.S. Agency for International Development,Developmental Food Aid/Food Security Assistance,Public Law 480 Title II Grants,Disbursements,2005,112200
Ocean Freight of USAID Title II Food Aid for Monetization (Direct Feeding),West Africa Region,U.S. Agency for International Development,Developmental Food Aid/Food Security Assistance,Public Law 480 Title II Grants,Obligations,2005,112200
